primary_name,ra,dec,vmag
148319,16.458581,-10.142778,8.58
148427,16.474492,-13.399639,6.89
148428,16.483056,-24.537989,7.57
148467,16.465808,7.3054494,8.82
14855,2.4177111,45.647528,7.42
148653E,16.481295,18.414061,7.02
148653W,16.481295,18.414061,7.02
148979,16.525167,8.2939167,6.97
149026,16.508228,38.34731,8.15
149143,16.547514,2.0848319,7.89
149200,16.556506,-4.2618611,7.24
1496-00050-1,15.931849,15.389826,10.37
1496-00290-1,15.945566,15.070686,10.082
1496-00840-1,15.975782,15.779801,9.684
1496-01002-1,15.923816,16.007389,10.319
1496-01016-1,15.977616,15.872112,10.602
1496-01510-1,15.884182,16.669342,9.106
149652,16.600864,1.3816111,7.25
149661,16.605958,-2.3245836,5.76
1497,0.32021956,13.577006,8.19
149724,16.613488,-6.2943028,7.84
149750,16.587401,37.022129,8.58
149760,16.627299,-22.059453,8.82
149806,16.619008,0.25434194,7.1
149907,16.614964,22.86825,6.87
149933,16.629436,0.040722222,8.05
150122,16.641668,12.662167,7.66
1502,0.32139444,14.054806,8.36
150237,16.654014,15.060677,8.66
1503-00856-1,16.007691,16.645506,10.207
1503-01050-1,16.006369,15.54703,9.165
150331,16.695959,-33.145759,5.84
150420,16.708081,-37.079353,6.47
150433,16.685615,-2.8572772,7.24
150437,16.70203,-29.124995,7.85
150554,16.682344,21.948149,7.692
150698,16.730954,-26.808946,6.72
150706,16.521552,79.789775,7.029
150933,16.725022,20.716194,7.19
150936,16.740743,-5.6872833,8.76
151044,16.707692,49.936694,6.48
151090,16.750031,6.0887778,6.55
15115,2.4378306,6.2926667,6.79
151288,16.751764,33.509229,8.11
151329,16.76219,19.642529,8.16
151504,16.808956,-19.28777,8.08
151522,16.739061,59.963694,8.39
151541,16.710716,68.102169,7.56
151627,16.802464,13.590333,6.38
151852,16.820275,19.294167,8.17
151877,16.809865,37.013369,8.4
151995,16.834801,18.900419,8.84
152125,16.810022,55.129364,8.92
152311,16.89035,-20.4155,5.86
152391,16.883001,-0.026421111,6.64
152446,16.878089,18.062194,6.81
152555,16.902262,-4.3401828,7.84
152581,16.895439,11.973778,8.38
152615,16.900903,8.4328883,7.76
152733,16.882561,44.402222,8.1
152781,16.933831,-16.806333,6.33
152792,16.892314,42.824856,6.74
152878,16.92295,21.492444,7.54
15335,2.4801374,29.93176,5.91
15336,2.4624806,-11.979,8.91
15337,2.4578828,-27.635207,9.1
153378,16.992088,-7.9555022,8.06
153458,17.000461,-7.5316572,7.99
153473,16.98661,14.079444,7.4
153525,16.96173,47.362144,7.88
153525C,16.96173,47.362144,7.88
153557,16.964772,47.366688,7.83
153627,17.004533,10.823056,7.38
15367,2.4736028,-0.23645556,0.0
15391,2.4719639,-11.716389,8.65
154088,17.074401,-28.582678,6.59
154144,17.057087,9.0245683,8.18
154160,17.052928,14.511778,6.52
154656,17.104976,12.606823,8.53
11964A,1.9526684,-10.242427,6.42
15468,2.4836972,-19.979611,8.78
154697,17.120673,-2.8669547,7.83
154962,17.148486,-3.8826111,6.35
154994,17.168955,-29.973422,9.5
155060,17.132206,32.105583,7.21
155358,17.159611,33.355831,7.3
155413,17.199621,-14.620381,7.25
155415,17.208684,-25.227159,8.29
155423,17.189617,4.6902778,6.77
155456,17.177114,24.532435,8.33
155524,17.180056,32.179111,7.24
155712,17.210451,18.351193,7.95
155817,17.212392,29.911956,8.34
155902,17.185673,56.65921,6.99
155968,17.249464,-2.503145,8.41
156026,17.270379,-26.546147,6.34
156079,17.273304,-21.857948,7.53
156146,17.258039,10.860556,8.67
1562,0.33344695,38.227402,7.07
156279,17.206445,63.352094,8.07
156342,17.275883,14.674015,8.28
156365,17.301982,-24.073022,6.591
156549,17.304129,-0.76466668,7.91
