,primary_name,other_name,ra,dec,vmag
27,WASP-3,TYC 2636-195-1|** WSP    3|GSC 02636-00195|2MASS J18343163+3539415|SPOCS 2977|1SWASP J183431.62+353941.4|UCAC3 252-133187|USNO-B1.0 1256-00285133|WASP-3|WDS J18345+3540AB|Gaia DR1 2095108308532352256|Gaia DR2 2095108312831835648,18.575445000000002,35.661667,10.6
28,WASP-37,GSC 00326-00658|DENIS J144746.5+010354|2MASS J14474655+0103538|SDSS J144746.55+010353.8|UCAC2  32211845|UCAC3 183-121327|WASP-37|Gaia DR2 3652176997218325888,14.796278,1.065,
29,WASP-48,TYC 3925-739-1|GSC 03925-00739|2MASS J19243895+5528233|SPOCS 3062|UCAC3 291-131713|WASP-48|Gaia DR1 2141754573944019328|Gaia DR2 2141754578242371584|TYC 3925-739-1|GSC 03925-00739|2MASS J19243895+5528233|SPOCS 3062|UCAC3 291-131713|WASP-48|Gaia DR1 2141754573944019328|Gaia DR2 2141754578242371584,19.410829999999997,55.47303,11.523
30,WASP-52,UCAC2  34947834|2MASS J23135873+0845405|UCAC4 494-144379|WASP-52|Gaia DR2 2666015878575546496,23.232972,8.761388900000002,
31,WASP-56,Cl* Melotte  111     AV     561|2MASS J12132790+2303205|1SWASP J121327.90+230320.2|TYC 1986-1561-1|WASP-56|Gaia DR1 4001613814138156416|Gaia DR2 4001613814138156416,12.2244,23.05569,12.003
32,WASP-57,GSC 04991-00565|2MASS J14551682-0203275|SDSS J145516.81-020327.5|1SWASP J145516.84-020327.5|UCAC2  31018518|UCAC3 176-132049|WASP-57|Gaia DR2 6340377202215639936,14.921332999999999,-2.0577778,
33,WASP-58,TYC 3525-76-1|2MASS J18184825+4510192|WASP-58|Gaia DR1 2115245554756763392|Gaia DR2 2115245554756763392,18.313417,45.171944,
34,WASP-92,UCAC4 706-054670|2MASS J16264610+5102280|1SWASP J162646.08+510228.2|WASP-92|Gaia DR2 1424011082893734272,16.446139000000002,51.041111,
35,XO-2,TYC 3413-5-1|** BVD   68B|ASCC  251428|GSC 03413-00005|LSPM J0748+5013N|2MASS J07480647+5013328|SPOCS 2703|USNO-B1.0 1402-00191767|WISEA J074806.43+501331.2|XO-2N|XO-2|Gaia DR2 934346809278715776|TYC 3413-5-1|** BVD   68B|ASCC  251428|GSC 03413-00005|LSPM J0748+5013N|2MASS J07480647+5013328|SPOCS 2703|USNO-B1.0 1402-00191767|WISEA J074806.43+501331.2|XO-2N|XO-2|Gaia DR2 934346809278715776,7.801806,50.225722999999995,11.2
36,XO-3,TYC 3727-1064-1|GSC 03727-01064|2MASS J04215269+5749018|SPOCS 2617|XO-3|Gaia DR1 470650556474472448|Gaia DR2 470650560777348352,4.364861,57.816832999999995,11.2
37,XO-4,TYC 3793-1994-1|GSC 03793-01994|2MASS J07213317+5816051|SPOCS 2693|XO-4|Gaia DR1 990291502792339840|Gaia DR2 990291507088739072,7.3592129,58.268058999999994,10.78
